image_id,product_id,image_url
1,1,https://images.unsplash.com/photo-1581655353564-df123a1eb820?fm=jpg&q=80&w=1000&fit=crop
2,2,https://images.unsplash.com/photo-1581655353564-df123a1eb820?fm=jpg&q=80&w=1000&fit=crop
3,3,https://images.unsplash.com/photo-1581655353564-df123a1eb820?fm=jpg&q=80&w=1000&fit=crop
4,4,https://images.unsplash.com/photo-1581655353564-df123a1eb820?fm=jpg&q=80&w=1000&fit=crop
5,5,https://images.unsplash.com/photo-1612889002991-fbfaf775d231?fm=jpg&q=80&w=1000&fit=crop
6,6,https://images.unsplash.com/photo-1612889002991-fbfaf775d231?fm=jpg&q=80&w=1000&fit=crop
7,7,https://images.unsplash.com/photo-1612889002991-fbfaf775d231?fm=jpg&q=80&w=1000&fit=crop
8,8,https://images.unsplash.com/photo-1612889002991-fbfaf775d231?fm=jpg&q=80&w=1000&fit=crop
9,9,https://images.unsplash.com/photo-1564257631407-4deb1f99d992?fm=jpg&q=80&w=1000&fit=crop
10,10,https://images.unsplash.com/photo-1564257631407-4deb1f99d992?fm=jpg&q=80&w=1000&fit=crop
11,11,https://images.unsplash.com/photo-1564257631407-4deb1f99d992?fm=jpg&q=80&w=1000&fit=crop
12,12,https://images.unsplash.com/photo-1564257631407-4deb1f99d992?fm=jpg&q=80&w=1000&fit=crop
13,13,https://images.unsplash.com/photo-1574201635302-388dd92a4c3f?fm=jpg&q=80&w=1000&fit=crop
14,14,https://images.unsplash.com/photo-1574201635302-388dd92a4c3f?fm=jpg&q=80&w=1000&fit=crop
15,15,https://images.unsplash.com/photo-1574201635302-388dd92a4c3f?fm=jpg&q=80&w=1000&fit=crop
16,16,https://images.unsplash.com/photo-1551028719-00167b16eac5?fm=jpg&q=80&w=1000&fit=crop
17,17,https://images.unsplash.com/photo-1551028719-00167b16eac5?fm=jpg&q=80&w=1000&fit=crop
18,18,https://images.unsplash.com/photo-1551028719-00167b16eac5?fm=jpg&q=80&w=1000&fit=crop
19,19,https://images.unsplash.com/photo-1551028719-00167b16eac5?fm=jpg&q=80&w=1000&fit=crop
20,20,https://images.unsplash.com/photo-1627637454030-5ddd536e06e5?fm=jpg&q=80&w=1000&fit=crop
21,21,https://images.unsplash.com/photo-1627637454030-5ddd536e06e5?fm=jpg&q=80&w=1000&fit=crop
22,22,https://images.unsplash.com/photo-1627637454030-5ddd536e06e5?fm=jpg&q=80&w=1000&fit=crop
23,23,https://images.unsplash.com/photo-1556821840-3a63f95609a7?fm=jpg&q=80&w=1000&fit=crop
